TestName,Status,Value,DownLimit,UpLimit,TestTime
TSP,0,D10_QT0,,,
Script_Version,0,1.0,,,
Overlay_Version,0,1.0d66_EVT_63,,,
"START_TEST_QT0",0,"PASS",NA,NA,2.163039
"Check DUT Mode",0,"PASS",NA,NA,0.576514
"Write GMT Date and Time",0,"20160401060109",NA,NA,0.037146
"Battery Present",0,"3890.0000",3400,4350,0.036788
"Board ID",0,"D101",NA,NA,0.037914
"ECID",0,"0x0004706610E34126",NA,NA,0.073356
"Diag Version Check",0,"24C210af",NA,NA,0.047127
"Get Link Data via MLB SN From SFC",0,"PASS",NA,NA,0.154881
"SN",0,"C7CRH02FH7YL",NA,NA,0.004327
"PREVIOUS FG SN",0,"C7CRH02FH7YL",NA,NA,0.032741
"Burn SN",0,"C7CRH02FH7YL",NA,NA,0.037907
"Compare 80ISN With SFC",0,"C7CRH02FH7YL",NA,NA,0.025843
"Check UOP",0,"PASS",NA,NA,0.005590
"NetWork CB: Check Previous Station CBs",0,"Network CB Check Return No Need!",NA,NA,0.051613
"Slot",0,"4",NA,NA,0.002783
"Get Link Data via ISN From SFC",0,"PASS",NA,NA,0.359607
"Set COF Function",0,"PASS",NA,NA,0.043099
"Write CB Incomplete",0,"PASS",NA,NA,0.100080
"Provision Status",0,"Provisioned",NA,NA,0.164943
"Provision Data",0,"PASS",NA,NA,11.078839
"Tristar Provision",0,"5.EzLink_RecvData():Successs!",5.EzLink_RecvData():Successs!,5.EzLink_RecvData():Successs!,0.006474
"Tristar ESN",0,"9A52A701D281B101",NA,NA,0.488933
"I2C Isolator Enable",0,"OK",NA,NA,0.016065
"I2C Isolator Test",0,"PASS",PASS,PASS,0.478653
"Turtle Value Reading",0,"51597",37000,65500,0.086608
"TurtleGapCal_InitialCdcResult",0,"Pass",Pass,Pass,0.966551
"TurtleGapCal_InitialCdcValue",0,"51561",NA,NA,0.006885
"TurtleGapCal_Stage0AfeOffsetResult",0,"Pass",Pass,Pass,0.006072
"TurtleGapCal_Stage0AfeOffsetValue",0,"1",NA,NA,0.005902
"TurtleGapCal_FinalCdcValue",0,"47453",NA,NA,0.006380
"TurtleGapCal_SyscfgKeyWriteResult",0,"Pass",Pass,Pass,0.006229
"VA_Compass_CRC",0,"No need for CRC check",NA,NA,0.118241
"X582 Serial Number",0,"0097B1110031262F001DEFEBABEE77E6",NA,NA,0.233550
"Burn X582 Chip ID",0,"0x00000001 0x0097B111 0x0031262F 0x001DEFEB 0xABEE77E6",NA,NA,0.092764
"AOP GPIO MESA_TO_AOP_FDINT_Init",0,"0",0,0,0.433476
"AOP GPIO MESA_TO_AOP_FDINT_High",0,"1",1,1,0.082461
"AOP GPIO MESA_TO_AOP_FDINT_Low",0,"0",0,0,0.086028
"Mesa i2c read through AOP",0,"0x49",0x49,0x49,0.043027
"AOP_TO_MESA_MENU_CONN",0,"ON",NA,NA,0.249738
"Mesa Temperature",0,"29.50",10,50,0.222457
"Muon Fault Register",0,"0x00",0x00,0x00,0.075011
"Magnesium Register",0,"PASS",NA,NA,0.229706
"Boost IC Check",0,"0x20",0x20 0x21,0x20 0x21,0.043969
"Test_spec_ver",0,"D1x_Maggie_spec_ver002",NA,NA,18.076648
"Maggie_LuaFileRevision",0,"2",NA,NA,0.033838
"Maggie_MaggieInitialise",0,"0",0,0,0.034351
"Maggie_MaggieDeviceID",0,"0x47A0",0x47A0,0x47A0,0.034147
"Maggie_FirmwareVersion",0,"4",4,4,0.034602
"Maggie_ECONFirmwareVersion",0,"5",5,5,0.034768
"Maggie_SRAM_Blocks_Test",0,"0",0,0,0.033058
"Maggie_HW_MAC_Test",0,"0",0,0,0.033623
"Maggie_LFOscOffset",0,"2041",NA,NA,0.032896
"Maggie_HFOscOffset:Mean",0,"1",NA,NA,0.033710
"Maggie_HFOscOffset:Min",0,"1",NA,NA,0.034182
"Maggie_HFOscOffset:Max",0,"1",NA,NA,0.042549
"Maggie_HFOscOffset:Cnt",0,"10",NA,NA,0.033449
"Maggie_ExtRstToPLL_Lock",0,"101",NA,NA,0.033614
"Maggie_ExtClkToPLL_Lock",0,"0",NA,NA,0.037286
"MAGGIE_TO_HOMER_WAKE_test",0,"PASS",PASS,PASS,0.033307
"SPI_MAGGIE_TO_HOMER_POS_SLK_test",0,"PASS",PASS,PASS,0.033922
"SPI_MAGGIE_TO_HOMER_POS_MOSI_test",0,"PASS",PASS,PASS,0.034408
"SPI_HOMER_TO_MAGGIE_POS_MISO_test",0,"PASS",PASS,PASS,0.033991
