TestName,Status,Value,DownLimit,UpLimit,TestTime
TSP,0,D10_CG-SENSOR,,,
Script_Version,0,1.0,,,
Overlay_Version,0,1.0d39_EVT_34,,,
"START_TEST_CG-SENSOR",0,"PASS",NA,NA,3.125584
"Initialise Fixture",0,"PASS",NA,NA,0.523197
"Read Fixture SN",0,"002",NA,NA,0.023953
"Check DUT Mode",0,"PASS",NA,NA,12.914071
"Board ID",0,"D10",NA,NA,0.035060
"ECID",0,"0x0006451C3020213A",NA,NA,0.037271
"Upload LCM SN",0,"FRP6135107HH1NH53+T220L9G072YAE1TT2+R0207163ECC54FH3H171+F61KJCFUZ31636M1V8GCR7",NA,NA,0.178545
"Get CG SN",0,"C7C6145000HGXX71S",NA,NA,0.059514
"Check UOP",0,"PASS",NA,NA,0.003779
"Get Link Data via CG SN From SFC",0,"PASS",NA,NA,0.112938
"Set COF Function",0,"PASS",NA,NA,0.145174
"CG Color",0,"White",NA,NA,0.012243
"Check And Burn MLB OrbG",0,"PASS",NA,NA,0.281742
"Diag Version Check",0,"24C210af",NA,NA,0.040039
"I2C Isolator Enable",0,"OK",NA,NA,0.028592
"Turtle Value Reading",0,"48232",37000,65500,0.083803
"Load X582 Firmware",1,"Invalide RegularExpress ((OK|Firmware is already loaded)) in MemoryKey[firmware_OK]",OK,OK,0.779569
"X582 Module SN From diag",0,"?",NA,NA,0.022905
"Compare X582 Module SN with SFC",1,"SFC:F6G61130060H24N3W4 <> UNIT:?",NA,NA,0.005694
"AOP GPIO MESA_TO_AOP_FDINT_Init",0,"0",0,0,0.107304
"AOP GPIO MESA_TO_AOP_FDINT_High",1,"0",1,1,0.079323
"AOP GPIO MESA_TO_AOP_FDINT_Low",0,"0",0,0,0.078267
"Mesa i2c read through AOP",0,"0x49",0x49,0x49,0.041991
"AOP_TO_MESA_MENU_CONN",1,"Invalide RegularExpress ((ON|OFF)) in MemoryKey[Mesa_state]",NA,NA,0.183089
"Write GMT Date and Time",0,"20160331234450",NA,NA,0.029817
"PROX_CG_DEV_ID",0,"208",208,208,0.083396
"PROX_CG_REV_ID",0,"18",18,18,0.005264
"PROX_CG_NO_TARGET_RAW_DIST_AVE",0,"26.575566",-20,100,0.812429
"PROX_CG_NO_TARGET_RAW_DIST_STD",0,"1.553545",0.01,3,0.005355
"PROX_CG_NO_TARGET_SIG_AVE",0,"59.776297",20,300,0.004998
