TestName,Status,Value,DownLimit,UpLimit,TestTime
TSP,0,D10_CONNECTIVITY-TEST,,,
Script_Version,0,1.0,,,
Overlay_Version,0,1.0d1_EVT_2,,,
"START_TEST_CONNECTIVITY-TEST",0,"PASS",NA,NA,3.435713
"Initialise Fixture",0,"PASS",NA,NA,2.116432
"Check DUT Mode",0,"PASS",NA,NA,0.585093
"Read Fixture SN",0,"0002",NA,NA,0.038476
"Board ID",0,"D101",NA,NA,0.029520
"ECID",0,"0x001E243C3020213A",NA,NA,0.042868
"Read MLB SN",0,"C7H610700A0GXJQD4",NA,NA,0.036837
"Get FG SN from SFC",0,"C7CRD00KH6GG",NA,NA,0.072045
"PREVIOUS FG SN",0,"C7CRD00KH6GG",NA,NA,0.034327
"Burn SN",0,"C7CRD00KH6GG",NA,NA,0.016364
"Get Link Data via ISN From SFC",0,"PASS",NA,NA,0.036603
"Set COF Function",0,"PASS",NA,NA,0.044574
"Write GMT Date and Time",0,"20160330035235",NA,NA,0.032528
"Diag Version Check",0,"24C210af",NA,NA,0.039150
"Write CB Incomplete",0,"PASS",NA,NA,0.066189
"Boost IC Check",0,"0x20",0x20 0x21,0x20 0x21,0.042771
"Battery Voltage",0,"3936",3600,4350,2.069182
"Battery Current",0,"-128",NA,NA,0.003734
"Battery Average Power",0,"-504",NA,NA,0.004387
"Battery Charge Percentage",0,"63",NA,NA,0.003716
"Test_spec_ver",0,"D1x_Maggie_spec_ver002",NA,NA,18.065131
"Maggie_LuaFileRevision",0,"2",NA,NA,0.035308
"Maggie_MaggieInitialise",0,"0",0,0,0.031972
"Maggie_MaggieDeviceID",0,"0x47A0",0x47A0,0x47A0,0.032969
"Maggie_FirmwareVersion",0,"4",4,4,0.033156
"Maggie_ECONFirmwareVersion",0,"5",5,5,0.034717
"Maggie_SRAM_Blocks_Test",0,"0",0,0,0.032578
"Maggie_HW_MAC_Test",0,"0",0,0,0.033244
"Maggie_LFOscOffset",0,"2042",NA,NA,0.033106
"Maggie_HFOscOffset:Mean",0,"220.1999999999999",NA,NA,0.033187
"Maggie_HFOscOffset:Min",0,"211",NA,NA,0.032174
"Maggie_HFOscOffset:Max",0,"227",NA,NA,0.034514
"Maggie_HFOscOffset:Cnt",0,"10",NA,NA,0.034034
"Maggie_ExtRstToPLL_Lock",0,"99",NA,NA,0.033006
"Maggie_ExtClkToPLL_Lock",0,"0",NA,NA,0.033929
"MAGGIE_TO_HOMER_WAKE_test",0,"PASS",PASS,PASS,0.033787
"SPI_MAGGIE_TO_HOMER_POS_SLK_test",0,"PASS",PASS,PASS,0.034141
"SPI_MAGGIE_TO_HOMER_POS_MOSI_test",0,"PASS",PASS,PASS,0.033444
"SPI_HOMER_TO_MAGGIE_POS_MISO_test",0,"PASS",PASS,PASS,0.035015
"AOP_TO_MAGGIE_MENU_1_test",0,"PASS",PASS,PASS,0.034428
"AOP_TO_MAGGIE_MENU_2_test",0,"PASS",PASS,PASS,0.033214
"Homer_FW_ver",0,"62",NA,NA,0.035901
"Homer_I2C_TO_Schrodinger",0,"OK",OK,OK,0.033536
"HOMER_BOOTLOADER_ALIVE_test",0,"PASS",PASS,PASS,0.034084
"SWD_AP_BI_HOMER_SWDIO_test",0,"PASS",PASS,PASS,0.034498
"HOMER_TO_AOP_WAKE_INT_test",0,"PASS",PASS,PASS,0.033434
"Lifetime Max Temperature",0,"40.3",0,60,0.593974
"Check MIC1 Exist",0,"Yes",Yes,Yes,1.510500
"MIC1_dock_vendor_id1",0,"0x01",NA,NA,0.007154
"MIC1_dock_vendor_id2",0,"0x00",NA,NA,0.007687
"MIC1 Vendor Check",0,"AAC",AAC GTK Knowles,AAC GTK Knowles,0.006410
